版本,comment,id,en-us,zh-cn,,,,,,,
1.0.0,警告,__comment,"代码生成文件,请勿手动修改,修改csv文件,然后本目录下执行 python3 generateI18n.py",代码生成文件，请勿手动修改，修改csv文件，然后本目录下执行 python3 generateI18n.py,,,,,,,
,课堂启动,retry,retry,重试,,,,,,,
,课堂启动,exit,exit,退出,,,,,,,
,课堂启动,init_error,",failed to initialize, please click the button and try again.",，初始化失败，请点击按钮重试,,,,,,,
,课堂启动,network_error,",the network request failed, please check the network and click the button to try again.",，网络请求失败，请检查网络后点击按钮重试,,,,,,,
,课堂启动,config_error,",failed to get class information, please click the button and try again.",，获取课堂信息失败，请点击按钮重试,,,,,,,
,课堂启动,rtm_error,",connection failed, please check the network and click the button to try again.",，连接失败，请检查网络后点击按钮重试,,,,,,,
,课堂启动,rtc_error,",audio and video link failed, please click the retry button.",，音视频链接失败，请点击重试按钮,,,,,,,
,class-课堂等待,class_awaiting,Awaiting,课堂等待,,,,,,,
,class-已开课,class_started,Started,已开课,,,,,,,
,class-即将开课,class_start_in,Start In,即将开课,,,,,,,
,class-超时,class_timeout,Timeout,已超时,,,,,,,
,设置-设置,setting_setting,Setting,设置,,,,,,,
,设置-摄像头,setting_camera,Teacher's camera,教师摄像头,,,,,,,
,设置-麦克风,setting_mic,Teacher's microphone,教师麦克风,,,,,,,
,设置-扬声器,setting_speaker,Speaker,扬声器,,,,,,,
,设置-界面,setting_interface,Interface,界面,,,,,,,
,设置-护眼模式,setting_eye,Eye Protection Mode,护眼模式,,,,,,,
,设置-镜像模式,setting_mirror,Mirror Mode,镜像模式,,,,,,,
,设置-刷新课堂,setting_refresh,Refresh,刷新课堂,,,,,,,
,设置-未检测到设备,setting_placeholder,No device is detected,未检测到设备,,,,,,,
,设置-未获取摄像头权限,setting_camera_placeholder,No camera access,未获取摄像头权限,,,,,,,
,popup-确认退出课堂,alert_exit_title,The class is not over. Are you sure you want to leave?,课堂还未结束，确定要退出吗？,,,,,,,
,popup-取消按钮,button_cancel,Cancel,取消,,,,,,,
,popup-退出课堂,button_leave,Leave,退出课堂,,,,,,,
,popup-确认结束课堂,alert_end_title,There are still students in this class. Are you sure you want to end the class?,还有学生在课堂中，确定要结束本次课堂吗？,,,,,,,
,popup-结束课堂,button_end,End the Class,结束课堂,,,,,,,
,popup-录制准备,record_loading,Devices Loading,录制准备中,,,,,,,
,popup-录制开始,record_start,Start Recording,录制开始,,,,,,,
,popup-录制中,record_recording,Recording,录制中,,,,,,,
,popup-转码中,toast_transcoding,"Courseware is converting, please try again later.",课件转码中，请稍后再试,,,,,,,
,popup-等待转码,toast_waiting_transcode,Waiting to be transcoded…,等待转码中……,,,,,,,
,popup-转码失败-标题,toast_transcode_failed,"The following coursewares converting failed, please avoid using them in class.",以下课件转码失败，请避免在课堂中使用,,,,,,,
,popup-转码失败-帮助,toast_transcode_help,"If you need any help, please contact customer service.",如需要帮助，请联系客服,,,,,,,
,popup-转码失败-我知道了,toast_transcode_confirm,OK,我知道了,,,,,,,
,tool-指针,tool_cursor,Cursor,指针,,,,,,,
,tool-画笔,tool_marker,Brush,画笔,,,,,,,
,tool-形状,tool_lines,Lines & Shapes,形状,,,,,,,
,tool-颜色,tool_colors,Colors,颜色,,,,,,,
,tool-粗细,tool_size,Size,粗细,,,,,,,
,tool-打字/文本,tool_text,Text,文本,,,,,,,
,tool-橡皮,tool_eraser,Eraser,橡皮,,,,,,,
,tool-框选擦除,tool_clear_selection,Clear Selection,框选擦除,,,,,,,
,tool-轨迹擦除,tool_normal_eraser,Normal Eraser,轨迹擦除,,,,,,,
,tool-清空,tool_clear_all,Clear All,清空,,,,,,,
,tool-全体视频上台,tool_on_stage,On Stage All,全体视频上台,,,,,,,
,tool-全体视频下台,tool_off_stage,Off Stage All,全体视频下台,,,,,,,
,tool-矩阵排列,tool_row,Row,矩阵排列,,,,,,,
,tool-围绕排列,tool_circle,Circle,围绕排列,,,,,,,
,tool-师生同台,tool_with_teacher,with Teacher,师生同台,,,,,,,
,tool-开启全体授权,tool_authorize_all,Authorize All,开启全体授权,,,,,,,
,tool-取消全体授权,tool_deauthorize_all,Deauthorize All,取消全体授权,,,,,,,
,secondary-白板,secondary_whiteboard,Blackboard,黑板,,,,,,,
,secondary-互动课件,secondary_interactive,Interactive Matierals,互动课件,,,,,,,
,secondary-加载中,secondary_loading,Loading,加载中,,,,,,,
,secondary-关闭,secondary_close,Close,关闭,,,,,,,
,secondary-缩放,secondary_zoom,Zoom,缩放,,,,,,,
,secondary-复位,secondary_reset_size,Reset Size,复位,,,,,,,
,secondary-新建白板空白页,secondary_new,New Whiteboard,新建白板空白页,,,,,,,
,secondary-上一页,secondary_previous,Previous Page,上一页,,,,,,,
,secondary-下一页,secondary_next,Next Page,下一页,,,,,,,
,secondary-目录,secondary_catalog,Catalog,目录,,,,,,,
,secondary-状态重置,secondary_reset,Reset,状态重置,,,,,,,
,secondary-备注,secondary_reminders,Reminders,备注,,,,,,,
,media-最小化,media_minimize,Minimize,最小化,,,,,,,
,media-最大化,media_maximize,Maximize,最大化,,,,,,,
,media-关闭,media_close,Close/Delete,关闭/删除,,,,,,,
,media-播放,media_play,Play,播放,,,,,,,
,media-暂停,media_pause,Pause,暂停,,,,,,,
,media-音量,media_volume,Volume,音量,,,,,,,
,media-倍速,media_play_speed,Play speed,倍速,,,,,,,
,image-层级,image_layers,Layers,层级,,,,,,,
,image-层级置顶,image_bring,Bring to Front,层级置顶,,,,,,,
,image-层级置底,image_send,Send to Back,层级置底,,,,,,,
,image-复制,image_copy,Copy,复制,,,,,,,
,image-锁定,image_locked,Locked,锁定,,,,,,,
,image-删除,image_delete,Delete,删除,,,,,,,
,image-放大,image_zoom_in,Zoom In,放大,,,,,,,
,image-缩小,image_zoom_out,Zoom Out,缩小,,,,,,,
,camera-当前学生下台,camera_off_stage,Off stage,当前学生下台,,,,,,,
,camera-全部学生下台,camera_off_stage_all,Off stage All,全部学生下台,,,,,,,
,auth-单人授权,auth_authorize,Authorize,单人授权,,,,,,,
,auth-全体授权,auth_authorize_all,Authorize All,全体授权,,,,,,,
,auth-上一人,auth_pre,Previous Student,上一人,,,,,,,
,auth-下一人,auth_next,Next Student,下一人,,,,,,,
,auth-监考模式,auth_monitor,Monitor Mode,监考模式,,,,,,,
,auth-退出授权,auth_deauthorize,Deauthorize,退出授权,,,,,,,
,auth-题目,auth_excercise,Excercise,题目,,,,,,,
,auth-1 on 1,auth_1,1 on 1,1 on 1,,,,,,,
,auth-练习已完成,auth_exercise_completed,Exercise Completed,练习已完成,,,,,,,
,auth-练习进行中,auth_exercise_in,Exercise in Progress,练习进行中,,,,,,,
,auth-发放下一题,auth_next_exercise,Next Exercise,发放下一题,,,,,,,
,行为反馈,operation_feedback,Feedback,行为反馈,,,,,,,
,正向行为,operation_motivate,Motivate,正向行为,,,,,,,
,负向行为,operation_notify,notify,负向行为,,,,,,,
,星星奖励,operation_reward,Reward,星星奖励,,,,,,,
,开麦,operation_unmute,Unmute,开麦,,,,,,,
,关麦,operation_mute,Mute,关麦,,,,,,,
,共享声音,operation_shared_unmute,Shared Audio,共享声音,,,,,,,
,停止共享声音,operation_shared_mute,Stop Sharing Audio,停止共享声音,,,,,,,
,音量调节,operation_volume,Volume,音量调节,,,,,,,
,内容列表,material_title,Content,内容列表,,,,,,,
,云盘,material_cloud,Cloud,云盘,,,,,,,
,浏览器,material_browser,Browser,浏览器,,,,,,,
,班级,learner_class,Class,班级,,,,,,,
,花名册,learner_list,Student List,花名册,,,,,,,
,成绩单,learner_grades,Students' Grades,成绩单,,,,,,,
,学员分组,learner_group,Group Students,学员分组,,,,,,,
,学员端功能设置,learner_settings,Students Settings,学员端功能设置,,,,,,,
,学生课堂班级视频区可见,learner_other,Other Students Visible,学生课堂班级视频区可见,,,,,,,
,学生授权后可自主切题,learner_once,(Once authourized) Allow student to switch to next exercise,学生授权后可自主切题,,,,,,,
,教学工具,tool_tool,Tools,教学工具,,,,,,,
,课间休息,tool_take,Take a Break,摇号,,,,,,,
,摇号,tool_slot,Slot Machine,抢答,,,,,,,
,抢答,tool_answer,Answer Buzzer,投票,,,,,,,
,投票,tool_vote,Vote,计时器,,,,,,,
,计时器,tool_timer,Timer,课次评价,,,,,,,
,课次评价,tool_evaluation,Evaluation,课间休息,,,,,,,
,,share_title,Screen Share,屏幕共享,,,,,,,
,,share_screen,Share Screen,桌面共享,,,,,,,
,,screen,Screen,桌面,,,,,,,
,,share_window,Share Window,窗口共享,,,,,,,
,,share_audio,Share Audio,共享音频,,,,,,,
,,share_audio_no_support,"Shared audio is not supported, learners cannot hear the sound you play.",暂不支持共享音频，学生无法听到你播放的声音,,,,,,,
,,share_cancel,Cancel,取消,,,,,,,
,,share_start,Start Sharing,开始共享,,,,,,,
,,share_stop,Stop Sharing,结束共享,,,,,,,
,,share_switch,Switch Window,切换窗口,,,,,,,
,,share_echo_tip_title,What to do if you encounter echoes due to shared audio when screen sharing？,屏幕共享时，因共享了音频而遇到回音怎么办？,,,,,,,
,,share_echo_tip_desc,It is recommended that you turn on only the shared audio sound or only your own microphone at the same time.,建议您同一时间只打开共享音频的声音或只打开自己的麦克风。,,,,,,,
,modal-课堂公告板,modal_notice_board,Notice board for this class,课堂公告板,,,,,,,
,modal-xx/人,modal_learner,learner,人,,,,,,,
,modal-限时赠送,modal_limit,Limited time offer,限时赠送,,,,,,,
,modal-学生视频可见,modal_learners,The attendees video area is visible to learners.,学生侧视频相互可见,,,,,,,
,modal-学生视频不可见,modal_invisible,The class camera area is invisible to learners.,学生视频不可见,,,,,,,
,modal-可在侧边栏修改,modal_sidebar,Can be modified in the sidebar.,可在侧边栏的班级设置中修改,,,,,,,
,modal-课堂已结束,modal_class_ended,The class has ended.,课堂已结束,,,,,,,
,modal-课堂已结束-超时,modal_class_ended_timeout,The class has ended after timeout.,课堂超时，已自动结束,,,,,,,
,modal-课堂已结束-知道了,modal_class_ended_ok,OK,知道了,,,,,,,
,modal-计划下课时间,modal_class_end_time,The class has reached its end time. It will be ended after {{time}} minutes.,下课时间到了，课堂将在{{time}}min后自动结束,,,,,,,
,modal-下课时间超时,modal_class_end_timeout,The class has timed out for {{timeout}} mins. It will be ended after {{time}} minutes.,课堂已超时{{timeout}}min，将在{{time}}min后自动结束,,,,,,,
,,share_reject,Please end the stage and try again.,请先结束上台,,,,,,,
,sidebar-全体,sidebar_all,All,全体,,,,,,,
,,share_reject_author,Please end the authorization first.,请先结束授权,,,,,,,
,header-已结束,header_ended,Ended,已结束,,,,,,,
,,hover_mute,Unmute,打开麦克风,,,,,,,
,,hover_unmute,Mute,关闭麦克风,,,,,,,
,,hover_on_stage,On Stage All,全体上台,,,,,,,
,,hover_off_stage,Off Stage All,全体下台,,,,,,,
,,hover_authored,Authorize,授权,,,,,,,
,,hover_unauthored,Deauthorize,取消授权,,,,,,,
,,hover_authorize_all,Authorize All,全体授权,,,,,,,
,,hover_deauthorize_all,Deauthorize All,取消全体授权,,,,,,,
,,hover_reward,Reward,发送星星奖励,,,,,,,
,,hover_mute_all,Unmute All,打开全体学生麦克风,,,,,,,
,,hover_unmute_all,Mute All,关闭全体学生麦克风,,,,,,,
,,hover_reward_all,Reward all,给全体学生加星星,,,,,,,
,,hover_expanding,Expanding,展开,,,,,,,
,,hover_collapsing,Collapsing,收起,,,,,,,
,,hover_view,Catalog,查看目录,,,,,,,
,,hover_pageup,Previous Page,上一页,,,,,,,
,,hover_pagedown,Next Page,下一页,,,,,,,
,,hover_reset,Reset,重置,,,,,,,
,,hover_mini,Minimize,最小化,,,,,,,
,,hover_restore,Restore,恢复,,,,,,,
,,hover_eraser,Eraser,框选清除,,,,,,,
,,hover_full_screen,Full Screen,全屏,,,,,,,
,,hover_screen_restore,Restore,退出全屏,,,,,,,
,,hover_add_black,Add Blackboard,增加一页黑板,,,,,,,
,modal-主动结束,modal_class_active_end,Are you sure to end this classroom? ,确定要结束课堂吗？,,,,,,,
,modal-主动结束-提醒,modal_class_active_end_warn,(You cannot enter again after the end.),（结束后将无法进入本课堂）,,,,,,,
,modal-主动结束-暂时离开,modal_class_active_end_temp,Leave,暂时离开,,,,,,,
,modal-主动结束-结束,modal_class_active_end_ended,End for All,结束,,,,,,,
,toast-星星数量已达上限,toast_star_reached_limit,The number of stars has reached the limit.,星星数量已达上限,,,,,,,
,camera-等待,camera_awaiting,Awaiting,等候中,,,,,,,
,camera-主动退出,camera_exit,Left,主动退出,,,,,,,
,camera-正在进入,camera_entering,Connecting,正在进入,,,,,,,
,camera-刷新课堂,camera_refreshing,Refreshing,正在刷新,,,,,,,
,camera-掉线,camera_offline,Disconnected,课堂服务中断,,,,,,,
,camera-应用后台,camera_appPause,Using other apps,正在使用其他程序,,,,,,,
,,timeout_add,Extend 10 mins,延长10分钟,,,,,,,
,notice-学生侧视频已相互可见,notice_classmate_visible,The attendees video area is visible to learners,学生侧视频已相互可见,,,,,,,
,notice-学生侧视频已相互不可见,notice_classmate_invisible,The attendees video area is invisible to learners,学生侧视频已相互不可见,,,,,,,
,sidebar-tabs-学生视频区可见,sidebar_classmate_visible_setting,Make the attendees video area visible to learners,学生视频区可见,,,,,,,
,该内容暂不支持授权操作,notice_authorization_operations_not_support,Authorization operations are not supported.,该内容暂不支持授权操作,,,,,,,
,请先结束当前授权,notice_terminate_other_authorization_first,Please terminate authorization first,请先结束当前授权,,,,,,,
,已取消授权,notice_authorization_cancel_success,Authorization has been cancelled,已取消授权,,,,,,,
,",notice-建议开启摄像头、麦克风，并佩戴耳机，以获得更好的课堂体验",notice_preparation_tip,"It is recommended that cameras, microphones and headphones be turned on for a better classroom experience",建议开启摄像头、麦克风，并佩戴耳机，以获得更好的课堂体验,,,,,,,
,notice-摄像头被占用,notice_camera_is_occupied,Camera is occupied.,摄像头被占用,,,,,,,
,notice-无摄像头设备,notice_no_camera,No Camera,无摄像头设备,,,,,,,
,notice-未打开摄像头权限,notice_no_camera_access,No Camera Access,未打开摄像头权限,,,,,,,
,notice-无麦克风设备,notice_no_mic,No Microphone,无麦克风设备,,,,,,,
音频状态,「麦克风被其他应用占用」提示,hover_mic_is_occupied,Microphone is occupied.,麦克风被其他应用占用,,,,,,,
,notice-未打开麦克风权限,notice_no_mic_access,No Microphone Access,未打开麦克风权限,,,,,,,
,",notice-网络异常，请检查网络链接,,""The network is abnormal,please check the network connection."",网络异常，请检查网络链接",notice_preparation_network,"The network is abnormal,please check the network connection.",网络异常，请检查网络链接,,,,,,,
,",notice-网络异常-重试",notice_preparation_network_retry,Retry,重试,,,,,,,
,课前-进入课堂,preparation_enter,Enter Classroom,进入课堂,,,,,,,
,课前-播放音乐,preparation_play,Play Music,播放音乐,,,,,,,
,alert-下课时间超时,alert_class_end_timeout,The class has timed out. It will be ended after @@@ minutes.,课堂已超时，将在@@@后自动结束,,,,,,,
,课堂开始,class_status_start,Start,开始,,,,,,,
,开始按钮说明,start_content,Start teaching and connecting with learners,连线学生并开始上课,,,,,,,
,公告板-标题-2,modal_title_2,The attendees video area is invisible to learners.,学生侧视频相互不可见,,,,,,,
,公告板-副标题-2,modal_limit_2,(Can be modified in the sidebar.),(可在侧边栏的班级设置中修改),,,,,,,
,公告板-标题-3,modal_title_3,"Before [Start], your video and the content will not be visible to learners. ",点击【开始】前，学生侧看不到您的视频和课件内容,,,,,,,
,公告板-副标题-2,modal_limit_3,(Some interactive features are also unavailable.),(部分互动功能也不可用哦),,,,,,,
,toast提示不可点击,toast_disabled,This function is available after clicking [Start]. ,此功能在点击【开始】后可用哦,,,,,,,
,,warning_stars,The operation is too fast. Please try again later.,操作过快，请稍后再试,,,,,,,
,toast提示_共享,toast_screen_share,You need recording permission to share your srceen and other Windows.,需要获取录制权限，以使用屏幕共享,,,,,,,
,toast-延长失败,toast_extend_err,"Time extension failed, please try again",延时失败，请重试,,,,,,,
,新手引导-调用课件,novice_guidance_call_materials_title,Select the courseware you want to use here.,选择您需要使用的课件,,,,,,,
,新手引导-调用课件,notive_guidance_call_materials_describe,"The courseware configured before class will appear here. You can drag it to the content area to open the corresponding courseware. After opening it, learners can see it synchronously.",课前配置好的课件会出现在这里，您可以将它拖拽至内容区，来打开对应课件，打开后学生同步可见,,,,,,,
,新手引导-书写工具,novice_guidance_draw_tools_title,Use them to operate courseware and write on the blackboard.,使用它们来操作课件、书写板书,,,,,,,
,新手引导-书写工具,novice_guidance_draw_tools_describe,"Pointer: can help you operate courseware.@@@
Brush: More than just writing, it can draw shapes quickly.@@@
Typing: Too much trouble writing? I might as well just type it out.@@@
Eraser: quickly clear box selection.","指针 | 它能帮你操作课件@@@
画笔 | 不止写字，它还能快速绘制形状@@@
打字 | 写字太麻烦？不如直接打出来@@@
橡皮 | 快速清除框选内容",,,,,,,
,新手引导-学生互动,novice_guidance_learner_interaction_title,Learners' favorite interaction: getting on stage and authorizing courseware.,学生最喜欢的互动：上台和授权操作课件,,,,,,,
,新手引导-学生互动,novice_guidance_learner_interaction_describe,"Stage: Select the learner camera and drag it directly to the content area.@@@
Authorization: Click the authorization button, through the operation of courseware, let learners better share ideas with everyone.","上台 | 选中学生摄像头，直接拖到内容区@@@
授权 | 点击ta的魔法棒，通过操作课件，让ta更好的向大家分享思路",,,,,,,
,新手引导-课堂激励,novice_guidance_cr_motivation_title,"Praise learners more, they will love learning more.",多表扬学生，他们会更爱学习,,,,,,,
,新手引导-课堂激励,novice_guidance_cr_motivation_describe,Click on the star to send out class rewards for learners.,点击星星，为学生发出课堂奖励,,,,,,,
,新手引导-课堂控制,novice_guidance_cr_control_title,You can control the field quickly here.,如果学生（们）太嗨，在这里让ta（们）安静下来,,,,,,,
,新手引导-课堂控制,novice_guidance_cr_control_describe,Control the microphones of individual students or all students here.,在这里控制单个学生或全部学生的麦克风,,,,,,,
,新手引导-退出课堂,novice_guidance_cr_exit_title,And I'll leave you there.,最后从这里下课,,,,,,,
,新手引导-退出课堂,novice_guidance_cr_exit_describe,Make sure the class is over.,记得确认课程结束,,,,,,,
,新手引导-麦克风控制,novice_guidance_cr_mic_control_describe,Click here to turn off/on your microphone.,点击这里可以关闭/打开您的麦克风,,,,,,,
,新手引导-我知道了,novice_guidance_confirm,Got it,我知道了,,,,,,,
,引导-上一步,guidance_back,Back,上一步,,,,,,,
,引导-下一步,guidance_next,Next,下一步,,,,,,,
,引导-我知道了,guidance_confirm,Got it,我知道了,,,,,,,
,引导-查看详情,guidance_details,View Details,查看详情,,,,,,,
,modal-磨课-主动结束,modal_grind_class_active_end,Are you sure to end the practice room?,确定要结束磨课课堂吗？,,,,,,,
,modal-磨课-主动结束-提醒,modal_grind_class_active_end_warn,The content will not be saved after the end.,结束后不会保存当前磨课课堂的内容,,,,,,,
,modal-磨课-取消,modal_grind_class_active_end_cancel,Cancel,取消,,,,,,,
,modal-磨课-退出,modal_grind_class_active_end_ended,End,结束,,,,,,,
,grind-磨课课堂标签,grind_tag,Practice Room,磨课课堂,,,,,,,
,grind-虚拟学员,grind_virtual_learners,Virtual Learners,虚拟学员,,,,,,,
,求助-intercom,intercom_hover,Help,求助,,,,,,,
